133571,-73884,-50608,144648
133571,-73884,-50608,144648
133449,-73838,-50569,144734
133329,-73966,-50684,144606
133401,-73934,-50611,144653
133573,-73811,-50509,144834
133561,-73806,-50558,145241
133647,-73696,-50454,145741
133467,-73912,-50597,145193
133406,-74023,-50671,144594
133394,-73941,-50672,144471
133470,-73850,-50576,144649
133470,-73850,-50576,144649
133334,-73964,-50731,144453
133310,-73926,-50715,144448
133441,-73784,-50604,144648
133438,-73764,-50589,144706
133531,-73665,-50527,144929
133476,-73697,-50543,145074
133547,-73632,-50506,145269
133373,-73752,-50650,145231
133380,-73719,-50581,145380
133368,-73723,-50546,145521
133436,-73716,-50551,145671
133465,-73751,-50576,145746
133358,-73783,-50583,145774
133349,-73734,-50526,145808
133271,-73819,-50623,145693
133425,-73594,-50440,145943
133424,-73539,-50406,146058
133273,-73696,-50534,145914
133273,-73712,-50506,145903
133255,-73726,-50479,145879
133279,-73722,-50543,145837
133309,-73754,-50598,145793
133313,-73716,-50631,145768
133280,-73679,-50627,145804
133280,-73679,-50627,145804
133293,-73689,-50631,145856
133319,-73671,-50628,145852
133339,-73643,-50594,145834
133315,-73655,-50624,145821
133331,-73620,-50608,145755
133281,-73635,-50606,145673
133512,-73391,-50355,145970
133328,-73528,-50507,145779
133226,-73632,-50605,145667
133284,-73571,-50592,145690
133319,-73534,-50560,145739
133415,-73461,-50471,145825
133349,-73582,-50590,145744
133333,-73522,-50654,145686
133333,-73522,-50654,145686
133421,-73447,-50559,145804
133275,-73630,-50739,145626
133291,-73608,-50752,145607
133351,-73585,-50721,145604
133380,-73599,-50698,145701
133380,-73599,-50698,145701
133481,-73468,-50651,145813
133389,-73544,-50710,145665
133395,-73614,-50726,145648
133432,-73619,-50741,145616
133538,-73519,-50701,145721
133489,-73575,-50725,145640
133334,-73657,-50870,145497
133429,-73591,-50856,145564
133486,-73515,-50829,145591
133644,-73458,-50727,145734
133807,-73347,-50611,145867
133653,-73539,-50847,145650
133591,-73597,-50939,145569
133616,-73613,-50925,145548
133692,-73589,-50946,145569
133603,-73715,-51089,145448
133613,-73664,-51079,145458
133711,-73560,-51042,145483
133729,-73518,-51077,145473
133774,-73529,-51046,145506
133866,-73514,-50968,145653
133673,-73689,-51161,145444
133733,-73629,-51116,145508
133749,-73663,-51102,145477
133543,-73842,-51261,145261
133730,-73587,-51082,145475
133882,-73418,-50904,145596
133734,-73604,-50996,145461
